Year,Date,SPECIES,SURVEY_TYPE,STOCK,COUNT,OFFICIAL_ESCAPEMENT
2023,2023-07-01,Sockeye Salmon,Aerial,Delight Lake,1592,6901
2023,2023-07-01,Sockeye Salmon,Aerial,Desire Lake,1830,14700
2023,2023-07-01,Sockeye Salmon,Aerial,Aialik Lake,400,6480
2023,2023-07-03,Chum Salmon,Aerial,McNeil River,0,25142
2023,2023-07-08,Chum Salmon,Aerial,Sunday Creek,0,3229
2023,2023-07-08,Chum Salmon,Aerial,Cottonwood Creek,0,8702
2023,2023-07-08,Chum Salmon,Aerial,Big Kamishak River,0,11481
2023,2023-07-08,Sockeye Salmon,Aerial,Amakdedori Creek,100,1300
2023,2023-07-08,Chum Salmon,Aerial,Iniskin River,0,18615
2023,2023-07-08,Chum Salmon,Aerial,McNeil River,8010,25142
2023,2023-07-13,Chum Salmon,Aerial,Middle Creek,420,526
2023,2023-07-13,Pink Salmon,Aerial,Slide Creek,1200,27193
2023,2023-07-13,Sockeye Salmon,Aerial,Desire Lake,15200,14700
2023,2023-07-13,Sockeye Salmon,Aerial,Delusion Lake,57,3970
2023,2023-07-13,Sockeye Salmon,Aerial,Delight Lake,8511,6901
2023,2023-07-13,Chum Salmon,Ground,Port Graham River,20,1212
2023,2023-07-14,Pink Salmon,Ground,Seldovia River,5,45755
2023,2023-07-18,Chum Salmon,Aerial,Middle Creek,1230,526
2023,2023-07-18,Pink Salmon,Aerial,Middle Creek,1100,12957
2023,2023-07-18,Chum Salmon,Aerial,Petrof River,20,10295
2023,2023-07-18,Chinook Salmon,Ground,Port Dick Creek,1,1
2023,2023-07-18,Chum Salmon,Ground,Port Dick Creek,671,7126
2023,2023-07-18,Pink Salmon,Ground,Port Dick Creek,2400,67708
2023,2023-07-18,Sockeye Salmon,Aerial,Delight Lake,5292,6901
2023,2023-07-18,Sockeye Salmon,Aerial,Aialik Lake,3630,6480
2023,2023-07-18,Pink Salmon,Aerial,Scurvy Creek,2000,237
2023,2023-07-18,Pink Salmon,Aerial,Windy Bay Left Creek,1200,50577
2023,2023-07-18,Chum Salmon,Aerial,Rocky River,580,7912
2023,2023-07-19,Chum Salmon,Ground,Dogfish Lagoon Creeks,117,2732
2023,2023-07-19,Pink Salmon,Ground,Dogfish Lagoon Creeks,23,55978
2023,2023-07-21,Chum Salmon,Aerial,Little Kamishak River,1161,52274
2023,2023-07-21,Chum Salmon,Aerial,Cottonwood Creek,10,8702
2023,2023-07-21,Pink Salmon,Aerial,Amakdedori Creek,1100,12802
2023,2023-07-21,Sockeye Salmon,Aerial,Amakdedori Creek,650,1300
2023,2023-07-21,Chum Salmon,Aerial,Iniskin River,320,18615
2023,2023-07-21,Chum Salmon,Ground,Island Creek,12,21469
2023,2023-07-21,Pink Salmon,Ground,Island Creek,4,50195
2023,2023-07-21,Chum Salmon,Aerial,Bruin River,1843,14629
2023,2023-07-21,Pink Salmon,Aerial,Sunday Creek,2000,104084
2023,2023-07-21,Chum Salmon,Aerial,McNeil River,7240,25142
2023,2023-07-21,Chum Salmon,Aerial,Brown's Peak Creek,1105,5043
2023,2023-07-21,Chum Salmon,Aerial,Sugarloaf Creek,70,4050
2023,2023-07-21,Chum Salmon,Aerial,Sunday Creek,1515,3229
2023,2023-07-24,Pink Salmon,Ground,Humpy Creek,103,15478
2023,2023-07-24,Chum Salmon,Ground,Humpy Creek,136,611
2023,2023-07-25,Chum Salmon,Aerial,Big Kamishak River,500,11481
2023,2023-07-25,Chum Salmon,Aerial,Cottonwood Creek,20,8702
2023,2023-07-25,Pink Salmon,Aerial,Windy Bay Right Creek,1210,12919
2023,2023-07-25,Pink Salmon,Aerial,Windy Bay Left Creek,13700,50577
2023,2023-07-25,Pink Salmon,Ground,Tutka Creek,35352,103043
2023,2023-07-25,Pink Salmon,Aerial,Sunday Creek,12800,104084
2023,2023-07-25,Chum Salmon,Aerial,Rocky River,2380,7912
2023,2023-07-25,Pink Salmon,Aerial,Scurvy Creek,600,237
2023,2023-07-25,Pink Salmon,Aerial,Amakdedori Creek,2300,12802
2023,2023-07-25,Pink Salmon,Aerial,Brown's Peak Creek,3000,51114
2023,2023-07-25,Chum Salmon,Aerial,Little Kamishak River,7820,52274
