"Year","Date","SPECIES","SURVEY_TYPE","STOCK","COUNT","OFFICIAL_ESCAPEMENT","METHOD","JulianDay","Days","FishDays","SumFishDays","EscInd","SumEscape","PercentEscape"
1959,1959-06-14,"Sockeye Salmon","Ground","Delight Lake",0,5000,"",164.5,0,0,0,0,0,0
1959,1959-07-02,"Sockeye Salmon","Ground","Delight Lake",5000,5000,"",182,17.5,43750,43750,2500,2500,0.320806599450046
1959,1959-07-19,"Sockeye Salmon","Ground","Delight Lake",3000,5000,"",199,17,68000,111750,3885.71428571429,6385.71428571429,0.819431714023831
1959,1959-07-20,"Sockeye Salmon","Ground","Delight Lake",2500,5000,"",200,1,2750,114500,157.142857142857,6542.85714285714,0.839596700274977
1959,1959-08-06,"Sockeye Salmon","Ground","Delight Lake",0,5000,"",217.5,17.5,21875,136375,1250,7792.85714285714,1
1959,1959-06-15,"Sockeye Salmon","Ground","English Bay Lakes",0,5000,"",165.5,0,0,0,0,0,0
1959,1959-07-03,"Sockeye Salmon","Ground","English Bay Lakes",2000,5000,"",183,17.5,17500,17500,1000,1000,0.175438596491228
1959,1959-07-14,"Sockeye Salmon","Ground","English Bay Lakes",5000,5000,"",194,11,38500,56000,2200,3200,0.56140350877193
1959,1959-07-31,"Sockeye Salmon","Ground","English Bay Lakes",0,5000,"",211.5,17.5,43750,99750,2500,5700,1
1959,1959-05-21,"Sockeye Salmon","Ground","Mikfik Lake",0,1000,"",140.5,0,0,0,0,0,0
1959,1959-06-08,"Sockeye Salmon","Ground","Mikfik Lake",500,1000,"",158,17.5,4375,4375,250,250,0.165500283714772
1959,1959-06-11,"Sockeye Salmon","Ground","Mikfik Lake",200,1000,"",161,3,1050,5425,60,310,0.205220351806317
1959,1959-06-12,"Sockeye Salmon","Ground","Mikfik Lake",300,1000,"",162,1,250,5675,14.2857142857143,324.285714285714,0.214677510875733
1959,1959-06-19,"Sockeye Salmon","Ground","Mikfik Lake",700,1000,"",169,7,3500,9175,200,524.285714285714,0.347077737847551
1959,1959-07-10,"Sockeye Salmon","Ground","Mikfik Lake",60,1000,"",190,21,7980,17155,456,980.285714285714,0.648950255343295
1959,1959-07-11,"Sockeye Salmon","Ground","Mikfik Lake",1000,1000,"",191,1,530,17685,30.2857142857143,1010.57142857143,0.668999432570456
1959,1959-07-28,"Sockeye Salmon","Ground","Mikfik Lake",0,1000,"",208.5,17.5,8750,26435,500,1510.57142857143,1
1960,1960-06-28,"Pink Salmon","Aerial","Amakdedori Creek",0,60000,"",179.5,0,0,0,0,0,0
1960,1960-07-16,"Pink Salmon","Aerial","Amakdedori Creek",65000,60000,"",197,17.5,568750,568750,32500,32500,0.531045751633987
1960,1960-07-30,"Pink Salmon","Aerial","Amakdedori Creek",3000,60000,"",211,14,476000,1044750,27200,59700,0.975490196078431
