"Year","Date","SPECIES","SURVEY_TYPE","STOCK","COUNT","OFFICIAL_ESCAPEMENT","JulianDay","Days","FishDays","SumFishDays","EscInd","SumEscape","PercentEscape"
2023,2023-06-30,"Chinook Salmon","Ground","Port Dick Creek",0,1,180.5,0,0,0,0,0,0
2023,2023-07-18,"Chinook Salmon","Ground","Port Dick Creek",1,1,198,17.5,8.75,8.75,0.5,0.5,0.5
2023,2023-08-04,"Chinook Salmon","Ground","Port Dick Creek",0,1,215.5,17.5,8.75,17.5,0.5,1,1
2023,2023-07-08,"Chum Salmon","Aerial","Big Kamishak River",0,11481,188,0,0,0,0,0,0
2023,2023-07-25,"Chum Salmon","Aerial","Big Kamishak River",500,11481,205,17,4250,4250,242.857142857143,242.857142857143,0.0228775673340636
2023,2023-07-31,"Chum Salmon","Aerial","Big Kamishak River",3672,11481,211,6,12516,16766,715.2,958.057142857143,0.090250657393626
2023,2023-08-08,"Chum Salmon","Aerial","Big Kamishak River",7740,11481,219,8,45648,62414,2608.45714285714,3566.51428571429,0.335971879432529
2023,2023-08-21,"Chum Salmon","Aerial","Big Kamishak River",4790,11481,232,13,81445,143859,4654,8220.51428571429,0.774386813908484
2023,2023-09-07,"Chum Salmon","Aerial","Big Kamishak River",0,11481,249.5,17.5,41912.5,185771.5,2395,10615.5142857143,1
2023,2023-07-03,"Chum Salmon","Aerial","Brown's Peak Creek",0,5043,183.5,0,0,0,0,0,0
2023,2023-07-21,"Chum Salmon","Aerial","Brown's Peak Creek",1105,5043,201,17.5,9668.75,9668.75,552.5,552.5,0.109568666336143
2023,2023-07-31,"Chum Salmon","Aerial","Brown's Peak Creek",1460,5043,211,10,12825,22493.75,732.857142857143,1285.35714285714,0.254904738295913
2023,2023-08-08,"Chum Salmon","Aerial","Brown's Peak Creek",2220,5043,219,8,14720,37213.75,841.142857142857,2126.5,0.421715418939018
2023,2023-08-21,"Chum Salmon","Aerial","Brown's Peak Creek",2400,5043,232,13,30030,67243.75,1716,3842.5,0.762022806147744
2023,2023-09-07,"Chum Salmon","Aerial","Brown's Peak Creek",0,5043,249.5,17.5,21000,88243.75,1200,5042.5,1
2023,2023-07-03,"Chum Salmon","Aerial","Bruin River",0,14629,183.5,0,0,0,0,0,0
2023,2023-07-21,"Chum Salmon","Aerial","Bruin River",1843,14629,201,17.5,16126.25,16126.25,921.5,921.5,0.0565233887920617
2023,2023-07-25,"Chum Salmon","Aerial","Bruin River",8980,14629,205,4,21646,37772.25,1236.91428571429,2158.41428571429,0.132393803413748
2023,2023-07-31,"Chum Salmon","Aerial","Bruin River",8610,14629,211,6,52770,90542.25,3015.42857142857,5173.84285714286,0.317355541360084
2023,2023-08-08,"Chum Salmon","Aerial","Bruin River",10650,14629,219,8,77040,167582.25,4402.28571428571,9576.12857142857,0.587384957531881
2023,2023-08-21,"Chum Salmon","Aerial","Bruin River",3180,14629,232,13,89895,257477.25,5136.85714285714,14712.9857142857,0.902471852219883
2023,2023-09-07,"Chum Salmon","Aerial","Bruin River",0,14629,249.5,17.5,27825,285302.25,1590,16302.9857142857,1
2023,2023-07-08,"Chum Salmon","Aerial","Cottonwood Creek",0,8702,188,0,0,0,0,0,0
2023,2023-07-21,"Chum Salmon","Aerial","Cottonwood Creek",10,8702,201,13,65,65,3.71428571428571,3.71428571428571,0.000426337839942936
2023,2023-07-25,"Chum Salmon","Aerial","Cottonwood Creek",20,8702,205,4,60,125,3.42857142857143,7.14285714285714,0.000819880461428724
2023,2023-07-31,"Chum Salmon","Aerial","Cottonwood Creek",1230,8702,211,6,3750,3875,214.285714285714,221.428571428571,0.0254162943042904
2023,2023-08-08,"Chum Salmon","Aerial","Cottonwood Creek",3160,8702,219,8,17560,21435,1003.42857142857,1224.85714285714,0.140593101525798
2023,2023-08-21,"Chum Salmon","Aerial","Cottonwood Creek",7245,8702,232,13,67632.5,89067.5,3864.71428571429,5089.57142857143,0.584197623986423
2023,2023-09-07,"Chum Salmon","Aerial","Cottonwood Creek",0,8702,249.5,17.5,63393.75,152461.25,3622.5,8712.07142857143,1
2023,2023-07-13,"Chum Salmon","Aerial","Douglas Reef River",0,760,193.5,0,0,0,0,0,0
2023,2023-07-31,"Chum Salmon","Aerial","Douglas Reef River",760,760,211,17.5,6650,6650,380,380,0.516404581634634
2023,2023-08-08,"Chum Salmon","Aerial","Douglas Reef River",250,760,219,8,4040,10690,230.857142857143,610.857142857143,0.830130071830713
2023,2023-08-25,"Chum Salmon","Aerial","Douglas Reef River",0,760,236.5,17.5,2187.5,12877.5,125,735.857142857143,1
2023,2023-07-13,"Chum Salmon","Aerial","Douglas River",0,8864,193.5,0,0,0,0,0,0
2023,2023-07-31,"Chum Salmon","Aerial","Douglas River",1511,8864,211,17.5,13221.25,13221.25,755.5,755.5,0.0852278679092944
2023,2023-08-08,"Chum Salmon","Aerial","Douglas River",4501,8864,219,8,24048,37269.25,1374.17142857143,2129.67142857143,0.24024798835802
2023,2023-08-21,"Chum Salmon","Aerial","Douglas River",5810,8864,232,13,67021.5,104290.75,3829.8,5959.47142857143,0.672287284875579
2023,2023-09-07,"Chum Salmon","Aerial","Douglas River",0,8864,249.5,17.5,50837.5,155128.25,2905,8864.47142857143,1
2023,2023-07-08,"Chum Salmon","Aerial","Iniskin River",0,18615,188,0,0,0,0,0,0
